verð,stærð,fjherb,fjklós,lyfta,fjhæð,fjbílast,fjbkar,fjsturt
18636000,117.0,3,1,0,1,0,1,0
17533000,67.9,1,1,0,1,0,0,1
14472000,45.7,1,1,0,1,0,0,1
14850000,78.1,2,1,0,1,0,1,0
20831000,87.4,2,1,0,1,0,1,0
17992000,89.5,3,1,0,1,0,1,0
13285000,44.9,1,1,1,1,0,1,0
17134000,69.2,1,1,0,1,0,1,1
23500000,85.4,2,1,1,1,0,0,1
37800000,122.5,2,1,3,1,1,1,0
51017000,195.7,6,2,0,2,0,2,2
23811000,92.7,2,1,0,1,0,1,1
20786000,83.9,2,1,0,1,0,1,0
24503000,100.8,0,0,2,1,0,0,0
19969000,78.6,2,1,0,1,0,1,0
30958000,123.2,5,2,0,2,1,1,1
29012000,148.7,7,1,0,2,0,1,0
22596000,113.6,3,1,0,1,0,1,1
36386000,119.4,3,1,0,1,0,1,1
31468000,94.9,4,1,0,2,0,1,0
22000000,106.7,3,1,0,1,0,1,0
17472000,104.1,3,1,0,2,0,1,0
20491000,136.6,3,1,0,2,0,1,0
14794000,85.4,3,1,0,1,0,1,0
17434000,96.7,3,1,0,1,0,1,0
28773000,105.5,3,1,0,1,0,0,1
21000000,80.3,2,1,0,1,0,1,1
24742000,112.0,3,1,0,1,0,1,1
20182000,106.0,3,1,0,1,0,1,1
14790000,57.7,1,1,0,1,0,1,0
15717000,53.1,1,1,0,1,0,1,0
18438000,77.3,2,1,1,1,0,1,0
30480000,90.3,4,1,0,1,0,1,1
17310000,59.7,1,1,0,1,0,1,0
34481000,127.3,3,1,0,1,0,1,0
26945000,103.1,4,1,0,1,0,1,0
13943000,51.7,1,1,0,1,0,1,0
16505000,67.8,2,1,1,1,1,1,0
23800000,105.8,2,1,0,1,0,1,0
15600000,109.6,3,1,0,2,0,1,0
10058000,63.1,2,1,0,1,0,1,1
7750000,46.2,1,1,0,1,0,1,0
12520000,92.6,3,1,0,1,0,1,0
27788000,117.5,3,1,1,1,0,1,0
15100000,63.2,1,1,0,1,0,1,0
22473000,95.4,2,1,0,1,0,1,0
15391000,79.3,2,1,0,1,0,1,0
30461000,110.1,2,2,3,1,1,1,1
23973000,101.4,3,1,0,1,0,1,0
33137000,115.8,3,1,2,1,2,1,1
38122000,132.7,2,2,2,1,1,1,2
17048000,108.7,2,1,0,1,0,1,0
17220000,90.5,3,1,0,1,0,1,0
24843000,90.0,2,1,0,1,0,1,0
19744000,59.3,1,1,0,1,1,1,0
21636000,84.8,3,1,1,1,0,1,0
47292000,130.4,3,2,4,1,1,1,1
26073000,92.3,2,1,1,1,1,1,0
17587000,96.3,1,1,0,1,0,1,0
21000000,97.4,2,1,1,1,2,0,1
25663000,98.6,3,1,0,1,0,0,1
15860000,68.5,2,1,0,1,0,1,0
28800000,121.9,3,1,2,1,1,1,1
17527000,57.8,1,1,1,1,0,0,1
35628000,119.6,3,1,0,1,0,1,0
12274000,38.2,0,1,0,1,0,0,1
24875000,89.2,2,1,0,1,0,1,1
14600000,67.2,1,1,0,1,1,1,0
26410000,107.2,3,1,3,1,1,1,1
27834000,94.5,2,2,0,2,0,2,0
32265000,99.8,2,1,3,1,1,0,1
19986000,75.3,2,1,0,1,0,1,0
25069000,115.7,3,1,0,1,0,1,0
15478000,61.0,1,1,0,1,0,1,0
26637000,115.7,2,1,0,1,0,1,0
26569000,99.6,3,1,0,1,0,1,1
23520000,130.7,3,1,1,1,1,1,0
36364000,123.7,2,1,0,1,0,1,1
22000000,95.1,2,1,1,1,0,1,0
26823000,93.5,2,1,0,1,0,0,1
31958000,113.2,2,1,2,1,1,1,1
41784000,135.0,3,2,0,1,0,1,2
29646000,115.5,2,1,2,1,0,0,1
20381000,65.6,1,1,0,1,0,1,0
31697000,131.1,2,1,0,1,0,1,0
29520000,146.9,3,1,1,1,1,1,1
21032000,114.8,3,1,0,2,0,1,0
28723000,109.0,3,2,0,1,0,0,1
24969000,82.5,3,2,0,1,0,0,1
12902000,51.7,1,1,0,1,0,1,0
25233000,68.8,1,1,0,1,0,1,0
16830000,68.1,2,1,0,1,0,1,0
13000000,61.2,1,1,0,1,0,1,0
23986000,85.5,2,1,2,1,0,0,1
22335000,106.7,4,1,0,2,1,0,1
26925000,122.1,2,1,0,2,0,1,0
26501000,88.3,2,1,0,1,0,1,0
25353000,79.2,2,1,0,1,0,1,1
27924000,80.4,1,1,0,1,0,1,0
19472000,67.0,1,1,1,1,0,1,0
29377000,99.7,3,1,0,1,0,1,1
17000000,95.8,2,1,0,1,0,1,0
35309000,148.9,4,2,0,2,0,1,0
22469000,88.0,3,1,0,1,0,1,0
26893000,93.3,2,1,0,1,0,1,0
18349000,82.7,2,1,0,1,1,1,0
15360000,56.5,2,1,0,1,0,0,1
21558000,83.0,2,1,1,1,0,1,0
24389000,95.2,3,1,0,1,0,1,1
19484000,59.4,2,1,0,1,0,1,0
26964000,85.1,3,1,0,1,0,1,0
19307000,70.9,2,1,0,1,0,1,0
19326000,102.3,3,1,0,1,0,1,0
22068000,105.1,3,1,1,1,0,1,0
16382000,69.1,1,1,0,1,0,1,0
16579000,56.6,2,1,0,1,0,0,1
14116000,64.1,1,1,2,1,0,1,0
33645000,93.9,2,1,1,1,1,1,0
18225000,66.2,1,1,1,1,0,0,1
21082000,101.9,3,1,0,1,0,0,1
31289000,109.9,3,2,0,1,0,1,0
32000000,123.8,4,1,0,1,0,1,0
23086000,81.8,2,1,0,1,0,1,0
26905000,87.6,2,1,0,1,1,0,1
46337000,130.3,3,2,4,1,2,1,1
22700000,88.6,2,1,0,2,0,1,0
18318000,73.0,2,1,0,1,0,1,1
17700000,47.3,2,1,0,1,0,1,0
18164000,55.1,1,1,0,1,0,1,0
22998000,97.4,2,1,0,1,1,1,0
18452000,97.4,3,1,1,1,0,1,0
9582000,75.0,2,1,0,1,0,1,0
15383000,56.6,1,1,0,1,0,0,1
35499000,122.7,4,1,0,1,0,1,1
26602000,94.7,1,1,2,1,1,1,1
54096000,210.3,3,3,0,2,0,2,2
21425000,74.4,2,1,0,1,0,1,1
30446000,100.0,1,1,0,1,1,1,0
15809000,57.3,1,1,0,1,0,0,1
28768000,115.2,3,1,0,1,0,1,0
17950000,105.2,2,1,0,1,0,1,0
18178000,56.2,1,1,0,1,1,1,0
30803000,117.4,5,1,0,2,0,1,0
22429000,82.7,1,1,0,1,0,1,0
13562000,72.0,1,1,0,1,0,0,1
20916000,125.7,4,1,0,2,0,1,0
27499000,153.3,5,1,0,2,0,1,0
22418000,88.3,2,1,0,1,0,1,0
22028000,85.2,3,1,0,1,0,1,0
35127000,104.7,3,1,4,1,1,1,0
24943000,108.8,2,1,0,1,0,1,0
12367000,37.6,1,1,0,1,0,0,1
12476000,57.9,1,1,1,1,0,1,0
20916000,64.5,2,1,0,1,0,1,0
28130000,84.8,2,1,1,1,1,0,1
15550000,51.9,1,1,0,1,1,1,0
29196000,108.8,2,1,0,1,0,0,1
20975000,84.5,2,1,1,1,0,1,0
16000000,51.0,1,1,1,1,0,1,0
22613000,81.8,4,1,0,2,0,1,0
23940000,102.9,2,1,0,1,0,0,1
15701000,78.1,2,1,1,1,0,1,0
39424000,134.3,4,2,0,1,0,0,1
20804000,103.2,4,1,0,2,0,1,0
17717000,72.2,2,1,0,1,0,1,0
30022000,91.5,3,1,0,1,0,0,1
15100000,74.6,2,1,2,1,0,1,0
31660000,136.4,2,1,0,1,0,1,0
17469000,80.9,2,1,0,1,0,1,1
