"kdagur","nuvirdi","teg_eign","svfn","byggar","mbstig","efstah","lyfta","ibm2","fjhaed","fjbilast","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","fjgeym","matssvaedi","undirmatssvaedi","ibteg"
"2.11.2011",18636,"Íbúðareign",0,1970,7,3,0,117,1,0,1,0,1,1,3,1,2,200,0,12
"31.10.2011",17533,"Íbúðareign",0,1953,7,2,0,"67.9",1,0,0,1,1,1,1,1,1,70,0,12
"7.10.2011",14472,"Íbúðareign",0,1921,7,2,0,"45.7",1,0,0,1,1,1,1,1,0,20,0,12
"7.10.2011",10186,"Ósamþykkt íbúð",0,1921,7,2,0,"43.8",1,0,0,1,1,1,1,1,0,20,0,12
"28.10.2011",14850,"Íbúðareign",0,1967,7,3,0,"78.1",1,0,1,0,1,1,2,1,1,200,0,12
"3.11.2011",20831,"Íbúðareign",0,1952,7,3,0,"87.4",1,0,1,0,1,1,2,1,2,70,0,12
"8.11.2011",34850,"Einbýlishús",6000,1990,7,1,0,125,1,0,1,1,1,1,3,1,0,6040,0,11
"4.11.2011",17992,"Íbúðareign",1000,1973,7,4,0,"89.5",1,0,1,0,1,1,3,1,1,320,0,12
"4.11.2011",13285,"Íbúðareign",1000,1971,7,8,1,"44.9",1,0,1,0,1,1,1,1,1,320,0,12
"2.11.2011",17134,"Íbúðareign",0,1983,7,3,0,"69.2",1,0,1,1,1,1,1,1,2,220,0,12
"3.11.2011",65933,"Einbýlishús",0,1970,7,1,0,"197.1",1,0,0,0,0,0,0,0,0,280,31,11
"3.11.2011",23500,"Íbúðareign",0,1986,7,7,1,"85.4",1,0,0,1,1,1,2,1,1,90,0,12
"8.11.2011",57800,"Parhús",1300,2011,7,1,0,"162.5",1,0,0,1,1,1,3,2,1,530,0,11
"8.11.2011",37800,"Íbúðareign",1300,2004,7,4,3,"122.5",1,1,1,0,1,1,2,1,0,510,49,12
"31.10.2011",51017,"Íbúðareign",1000,1995,7,2,0,"195.7",2,0,2,2,2,1,6,2,2,320,0,11
"3.11.2011",23811,"Íbúðareign",1000,1994,7,4,0,"92.7",1,0,1,1,1,1,2,2,0,330,0,12
"2.11.2011",20786,"Íbúðareign",1000,1993,7,3,0,"83.9",1,0,1,0,1,1,2,1,0,330,0,12
"28.10.2011",24503,"Íbúðareign",0,1960,7,11,2,"100.8",1,0,0,0,0,0,0,0,0,100,0,12
"3.11.2011",19969,"Íbúðareign",0,1960,7,5,0,"78.6",1,0,1,0,1,1,2,1,1,72,0,12
"31.10.2011",30958,"Íbúðareign",0,1982,7,4,0,"123.2",2,1,1,1,2,1,5,1,0,72,0,12
"30.9.2011",7992,"Einbýlishús",8716,1972,7,1,0,"105.4",1,0,0,1,1,1,3,1,1,8020,0,11
"9.11.2011",29012,"Íbúðareign",1400,1945,7,3,0,"148.7",2,0,1,0,1,1,7,1,0,660,0,11
"9.11.2011",22596,"Íbúðareign",1400,1993,7,3,0,"113.6",1,0,1,1,1,1,3,1,1,650,0,12
"1.11.2011",36386,"Íbúðareign",0,1960,7,2,0,"119.4",1,0,1,1,1,1,3,1,0,100,0,12
"3.11.2011",31468,"Íbúðareign",0,1945,7,2,0,"94.9",2,0,1,0,1,1,4,3,1,90,0,12
"3.11.2011",22967,"Raðhús",0,1961,7,2,0,"86.4",2,0,1,0,1,1,3,1,0,284,0,11
"4.11.2011",22000,"Íbúðareign",0,1974,7,3,0,"106.7",1,0,1,0,1,1,3,2,1,150,22,12
"9.11.2011",17472,"Íbúðareign",1400,1984,7,4,0,"104.1",2,0,1,0,1,1,3,1,1,600,0,12
"1.11.2011",20491,"Íbúðareign",3000,1946,7,2,0,"136.6",2,0,1,0,1,1,3,2,0,3000,0,11
"8.11.2011",14794,"Íbúðareign",3000,1973,7,3,0,"85.4",1,0,1,0,1,1,3,1,0,3000,0,12
"1.11.2011",17434,"Íbúðareign",0,1967,7,3,0,"96.7",1,0,1,0,1,1,3,1,0,200,0,12
"11.11.2011",24165,"Einbýlishús",3709,1973,7,1,0,"181.3",2,0,1,0,2,2,5,2,0,3110,0,11
"9.11.2011",37893,"Einbýlishús",6000,1984,7,1,0,"146.8",1,0,1,1,2,1,4,1,0,6040,0,11
"4.11.2011",28773,"Íbúðareign",6000,2009,7,2,0,"105.5",1,0,0,1,1,1,3,1,1,6010,0,12
"10.11.2011",27454,"Raðhús",6000,1984,7,2,0,"153.9",2,0,1,1,1,1,4,2,0,6040,0,11
"8.11.2011",13900,"Einbýlishús",2506,1990,7,2,0,"170.3",2,0,1,1,2,1,5,2,1,2010,0,11
"4.11.2011",21000,"Íbúðareign",0,1985,7,4,0,"80.3",1,0,1,1,1,1,2,1,1,85,0,12
"3.11.2011",24742,"Íbúðareign",0,1992,7,3,0,112,1,0,1,1,1,1,3,2,1,130,0,12
"9.11.2011",37344,"Einbýlishús",1400,1956,7,1,0,"156.2",2,0,1,0,2,1,5,3,2,600,0,11
"4.11.2011",20182,"Íbúðareign",0,1993,7,3,0,106,1,0,1,1,1,1,3,1,0,130,0,12
"4.11.2011",14790,"Íbúðareign",0,1974,7,4,0,"57.7",1,0,1,0,1,1,1,1,1,161,0,12
"4.11.2011",15717,"Íbúðareign",0,1934,7,2,0,"53.1",1,0,1,0,1,1,1,2,1,11,0,12
"28.10.2011",18438,"Íbúðareign",0,1960,7,9,1,"77.3",1,0,1,0,1,1,2,1,0,90,0,12
"4.11.2011",30480,"Íbúðareign",0,1955,7,3,0,"90.3",1,0,1,1,1,1,4,2,1,70,0,12
"4.11.2011",17310,"Íbúðareign",1100,1992,7,4,0,"59.7",1,0,1,0,1,1,1,1,0,400,0,12
"4.11.2011",34481,"Íbúðareign",0,1963,7,2,0,"127.3",1,0,1,0,1,1,3,2,1,91,48,12
"4.11.2011",26945,"Íbúðareign",0,1948,7,2,0,"103.1",1,0,1,0,1,1,4,2,1,100,0,11
"7.11.2011",13943,"Íbúðareign",0,1961,7,4,0,"51.7",1,0,1,0,1,1,1,1,0,80,17,12
"7.11.2011",16505,"Íbúðareign",0,1979,7,8,1,"67.8",1,1,1,0,1,1,2,1,0,160,0,12
"7.11.2011",51851,"Raðhús",0,1969,7,2,0,"220.7",2,1,1,0,2,1,4,2,1,280,0,11
"3.11.2011",23800,"Íbúðareign",0,1961,7,2,0,"105.8",1,0,1,0,1,1,2,1,0,100,0,12
"10.11.2011",25000,"Raðhús",6250,1977,7,1,0,179,2,0,1,0,1,1,5,1,0,6110,0,11
"10.11.2011",15600,"Íbúðareign",6250,1936,7,2,0,"109.6",2,0,1,0,1,1,3,1,0,6110,0,11
"10.11.2011",10058,"Íbúðareign",8000,1942,7,2,0,"63.1",1,0,1,1,1,1,2,1,1,8200,0,11
"4.11.2011",7750,"Íbúðareign",8000,1876,7,2,0,"46.2",1,0,1,0,1,1,1,1,0,8200,0,11
"10.11.2011",12520,"Íbúðareign",8000,1975,7,3,0,"92.6",1,0,1,0,1,1,3,1,2,8200,0,12
"5.10.2011",24890,"Parhús",8000,1953,7,2,0,"202.8",3,0,1,0,1,1,5,1,0,8200,0,11
"10.11.2011",52326,"Einbýlishús",1400,1979,7,1,0,"192.5",2,0,1,0,2,1,5,1,1,600,0,11
"3.11.2011",27788,"Íbúðareign",1400,2006,7,7,1,"117.5",1,0,1,0,1,1,3,1,0,630,0,12
"24.10.2011",15100,"Íbúðareign",0,1921,7,2,0,"63.2",1,0,1,0,1,1,1,1,0,20,0,12
"7.11.2011",22473,"Íbúðareign",0,1998,7,3,0,"95.4",1,0,1,0,1,1,2,1,1,140,0,12
"10.11.2011",15391,"Íbúðareign",1400,1968,7,3,0,"79.3",1,0,1,0,1,1,2,1,0,600,0,12
"10.11.2011",30461,"Íbúðareign",1400,2007,7,6,3,"110.1",1,1,1,1,2,1,2,1,0,680,105,12
"9.11.2011",23973,"Íbúðareign",1400,1968,7,1,0,"101.4",1,0,1,0,1,1,3,2,1,600,0,11
"10.11.2011",33137,"Íbúðareign",1400,2008,7,4,2,"115.8",1,2,1,1,1,1,3,1,0,640,0,12
"10.11.2011",38122,"Íbúðareign",1300,2008,7,2,2,"132.7",1,1,1,2,2,1,2,1,0,511,0,12
"11.11.2011",17048,"Íbúðareign",1400,1991,7,3,0,"108.7",1,0,1,0,1,1,2,1,0,620,0,12
"1.11.2011",17220,"Íbúðareign",1400,1966,7,4,0,"90.5",1,0,1,0,1,1,3,1,0,600,0,12
"8.11.2011",52800,"Einbýlishús",1000,2011,7,1,0,"143.3",1,0,0,1,1,1,3,1,2,340,43,11
"4.11.2011",24843,"Íbúðareign",1000,2006,7,3,0,90,1,0,1,0,1,1,2,1,0,350,0,12
"9.11.2011",19744,"Íbúðareign",1000,1994,7,3,0,"59.3",1,1,1,0,1,1,1,1,0,330,0,12
"25.10.2011",21636,"Íbúðareign",0,1963,7,9,1,"84.8",1,0,1,0,1,1,3,1,1,90,0,12
"7.11.2011",63238,"Einbýlishús",0,1924,7,2,0,"154.1",2,0,0,1,2,1,5,2,0,25,0,11
"7.11.2011",47292,"Íbúðareign",1100,2009,7,3,4,"130.4",1,1,1,1,2,1,3,1,0,400,0,12
"9.11.2011",33891,"Einbýlishús",0,1943,7,1,0,"118.7",2,0,1,1,2,1,3,2,0,100,0,11
"7.11.2011",26073,"Íbúðareign",0,2005,7,5,1,"92.3",1,1,1,0,1,1,2,1,0,130,0,12
"7.11.2011",30794,"Raðhús",1604,1988,7,2,0,"107.7",2,0,1,0,1,1,3,2,0,800,0,11
"12.11.2011",23500,"Raðhús",6000,1979,7,1,0,"120.1",1,0,1,1,1,1,3,1,0,6040,0,11
"11.11.2011",40862,"Einbýlishús",6000,1987,7,2,0,188,2,0,1,1,2,1,4,2,0,6020,0,11
"10.11.2011",36268,"Einbýlishús",6000,1969,7,1,0,"144.1",1,0,1,0,2,1,3,1,0,6030,0,11
