"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2014-03-28 18:00:00",17.25
"2014-03-31 18:00:00",17.9,19265213
"2014-04-01 18:00:00",17.7,11728022
"2014-04-02 18:00:00",17.6,8809410
"2014-04-03 18:00:00",17.5,5786530
"2014-04-04 18:00:00",18,19534144
"2014-04-07 18:00:00",17.75,6037329
"2014-04-08 18:00:00",17.9,27223237
"2014-04-09 18:00:00",18.15,36991954
"2014-04-10 18:00:00",17.95,2210500
"2014-04-11 18:00:00",17.8,5307548
"2014-04-14 18:00:00",17.7,7151000
"2014-04-15 18:00:00",17.55,13240164
"2014-04-16 18:00:00",17.65,4131140
"2014-04-22 18:00:00",17.8,2318511
"2014-04-23 18:00:00",17.6,11761131
"2014-04-25 18:00:00",17.4,16416240
"2014-04-28 18:00:00",17.25,3118861
"2014-04-29 18:00:00",17,17304642
"2014-04-30 18:00:00",17.35,25076536
"2014-05-02 18:00:00",17,18767561
"2014-05-05 18:00:00",16.85,3906833
"2014-05-06 18:00:00",17,24061069
"2014-05-07 18:00:00",17.35,25821763
"2014-05-08 18:00:00",17.2,15972500
"2014-05-09 18:00:00",17.2,4711505
"2014-05-12 18:00:00",17,40797098
"2014-05-13 18:00:00",17,17808551
"2014-05-14 18:00:00",17.2,42880329
"2014-05-15 18:00:00",17.1,10961418
"2014-05-16 18:00:00",17.05,7567823
"2014-05-19 18:00:00",17.05,8549613
"2014-05-20 18:00:00",16.45,29968000
"2014-05-21 18:00:00",16.5,23076874
"2014-05-22 18:00:00",17.45,24312920
"2014-05-23 18:00:00",17.3,4260000
"2014-05-26 18:00:00",17.65,31508840
"2014-05-27 18:00:00",17.55,6698000
"2014-05-28 18:00:00",18,13724917
"2014-05-30 18:00:00",17.8,14858902
"2014-06-02 18:00:00",17.9,46597463
"2014-06-03 18:00:00",17.8,1992982
"2014-06-04 18:00:00",17.9,9537029
"2014-06-05 18:00:00",17.65,16432860
"2014-06-06 18:00:00",17.65,6019500
"2014-06-10 18:00:00",17.65,12508000
"2014-06-11 18:00:00",17.3,5280000
"2014-06-12 18:00:00",17.55,25400100
"2014-06-13 18:00:00",17.7,22518443
"2014-06-16 18:00:00",17.4,11403626
"2014-06-18 18:00:00",17.7,6448154
"2014-06-19 18:00:00",17.4,6875359
"2014-06-20 18:00:00",17.3,8460499
"2014-06-23 18:00:00",17.3,18433747
"2014-06-24 18:00:00",17.1,9028500
"2014-06-25 18:00:00",17.1,6363009
"2014-06-26 18:00:00",17.15,1502000
"2014-06-27 18:00:00",17.2,110358
"2014-06-30 18:00:00",17.1,10078810
"2014-07-01 18:00:00",17,22284000
"2014-07-02 18:00:00",16.87,10265000
"2014-07-03 18:00:00",16.85,58654
"2014-07-04 18:00:00",17,2300000
"2014-07-07 18:00:00",17.25,30891010
"2014-07-08 18:00:00",17.5,5318152
"2014-07-09 18:00:00",17.35,1215022
"2014-07-10 18:00:00",17.3,4461000
"2014-07-11 18:00:00",17.2,3541245
"2014-07-14 18:00:00",17.35,3714504
"2014-07-15 18:00:00",17.15,4680000
"2014-07-16 18:00:00",17.25,1700000
"2014-07-17 18:00:00",17.4,30000
"2014-07-18 18:00:00",17.2,888065
"2014-07-21 18:00:00",17.15,5289935
"2014-07-22 18:00:00",17.15,359489
"2014-07-23 18:00:00",17.2,235000
"2014-07-24 18:00:00",17.4,5481975
"2014-07-25 18:00:00",17.65,17047729
"2014-07-28 18:00:00",17.5,2687831
"2014-07-29 18:00:00",17.65,965976
"2014-07-30 18:00:00",17.7,6553672
"2014-07-31 18:00:00",18.1,38718538
"2014-08-01 18:00:00",18.6,32770000
"2014-08-05 18:00:00",18.55,3406500
